sequence accession,strain_name,state,subtype,NA_clade,HA_clade
KC751558,A/swine/Kansas/13-105721b/2013,Kansas,H1N2,N2.2002A,delta1a
MF920308,A/swine/Minnesota/MT_13_01_S53/2013,Minnesota,H3N2,N2.2002B,cluster_ivb
MF920054,A/swine/Minnesota/MT_13_01_S54/2013,Minnesota,H3N2,N2.2002B,cluster_ivb
MF920136,A/swine/Minnesota/MT_13_01_S55/2013,Minnesota,H3N2,N2.2002B,cluster_ivb
MF920038,A/swine/Minnesota/MT_13_01_S56/2013,Minnesota,H3N2,N2.2002B,cluster_ivb
MF920300,A/swine/Minnesota/MT_13_01_S57/2013,Minnesota,H3N2,N2.2002B,cluster_ivb
MF919699,A/swine/Minnesota/MT_13_01_S58/2013,Minnesota,H3N2,N2.2002B,cluster_ivb
MF919998,A/swine/Minnesota/MT_13_01_S59/2013,Minnesota,H3N2,N2.2002B,cluster_ivb
MF919821,A/swine/Minnesota/MT_13_01_S60/2013,Minnesota,H3N2,N2.2002B,cluster_ivb
MF920210,A/swine/Minnesota/MT_13_01_S61/2013,Minnesota,H3N2,N2.2002B,cluster_ivb
MF919990,A/swine/Minnesota/MT_13_01_S62/2013,Minnesota,H3N2,N2.2002B,cluster_ivb
MF920085,A/swine/Minnesota/MT_13_01_S63/2013,Minnesota,H3N2,N2.2002B,cluster_ivb
MF920292,A/swine/Minnesota/MT_13_01_S64/2013,Minnesota,H3N2,N2.2002B,cluster_ivb
MF919757,A/swine/Minnesota/MT_13_01_S65/2013,Minnesota,H3N2,N2.2002B,cluster_ivb
MF919749,A/swine/Minnesota/MT_13_01_S85/2013,Minnesota,H3N2,N2.2002B,cluster_ivb
MF920283,A/swine/Minnesota/MT_13_01_S86/2013,Minnesota,H3N2,N2.2002B,cluster_ivb
MF919930,A/swine/Minnesota/MT_13_01_S88/2013,Minnesota,H3N2,N2.2002B,cluster_ivb
MF919975,A/swine/Minnesota/MT_13_01_S89/2013,Minnesota,H3N2,N2.2002B,cluster_ivb
KC735175,A/swine/Minnesota/A01280988/2013,Minnesota,H1N2,N2.2002A,delta1b
KC790352,A/swine/Minnesota/A01445762/2013,Minnesota,H1N2,N2.2002A,delta1b
KC759337,A/swine/Illinois/A01349041/2013,Illinois,H1N2,N2.2002A,delta1b
KC790367,A/swine/Iowa/A01445788/2013,Iowa,H1N2,N2.2002A,delta1b
MF920046,A/swine/Minnesota/MT_13_01_S68/2013,Minnesota,H3N2,N2.2002B,cluster_ivb
MF920030,A/swine/Minnesota/MT_13_01_S69/2013,Minnesota,H3N2,N2.2002B,cluster_ivb
MF920016,A/swine/Minnesota/MT_13_01_S70/2013,Minnesota,H3N2,N2.2002B,cluster_ivb
MF920093,A/swine/Minnesota/MT_13_01_S71/2013,Minnesota,H3N2,N2.2002B,cluster_ivb
MF920202,A/swine/Minnesota/MT_13_01_S72/2013,Minnesota,H3N2,N2.2002B,cluster_ivb
MF919889,A/swine/Minnesota/MT_13_01_S73/2013,Minnesota,H3N2,N2.2002B,cluster_ivb
MF919914,A/swine/Minnesota/MT_13_01_S74/2013,Minnesota,H3N2,N2.2002B,cluster_ivb
MF920217,A/swine/Minnesota/MT_13_01_S75/2013,Minnesota,H3N2,N2.2002B,cluster_ivb
KC790358,A/swine/Nebraska/A01445765/2013,Nebraska,H1N2,N2.2002B,delta1b
KF700636,A/swine/Iowa/13B092/2013,Iowa,H1N2,N2.2002A,delta1b
KF814063,A/swine/Iowa/13B093/2013,Iowa,H1N2,N2.2002A,delta1b
KC759340,A/swine/Nebraska/A01349084/2013,Nebraska,H1N2,N2.2002A,delta1a
KC755684,A/swine/Indiana/A01432492/2013,Indiana,H3N2,N2.2002B,cluster_iva
KC755693,A/swine/Iowa/A01432500/2013,Iowa,H3N2,N2.1998A,cluster_ivf
KC841844,A/swine/Iowa/A01432529/2013,Iowa,H3N2,N2.2002B,cluster_iva
KC800969,A/swine/Iowa/A01432535/2013,Iowa,H1N2,N2.2002A,delta1a
KC800966,A/swine/Iowa/A01432537/2013,Iowa,H1N2,N2.2002A,delta1b
KC894810,A/swine/Kansas/13-107386/2013,Kansas,H1N2,N2.2002A,delta1b
KC841829,A/swine/Minnesota/A01432544/2013,Minnesota,H3N2,N2.2002B,cluster_ivb
KC800972,A/swine/North_Carolina/A01432533/2013,North Carolina,H1N2,N2.2002A,delta1b
KC841841,A/swine/North_Carolina/A01432566/2013,North Carolina,H3N2,N2.2002B,cluster_iva
KC849380,A/swine/North_Carolina/A01432584/2013,North Carolina,H3N2,N2.2002B,cluster_iva
KC785089,A/swine/Ohio/A01349140/2013,Ohio,H1N2,N2.2002A,delta2
KC849386,A/swine/Oklahoma/A01432577/2013,Oklahoma,H1N2,N2.2002A,delta1b
KC790361,A/swine/Illinois/A01443559/2013,Illinois,H1N2,N2.2002A,delta1b
KC822379,A/swine/Illinois/A01443560/2013,Illinois,H1N2,N2.2002A,delta1b
KC785092,A/swine/Minnesota/A01349160/2013,Minnesota,H3N2,N2.2002B,cluster_iva
KC844199,A/swine/Minnesota/A01349281/2013,Minnesota,H1N2,N2.2002B,delta1b
KC844208,A/swine/Ohio/A01349302/2013,Ohio,H3N2,N2.2002B,cluster_iva
KC844205,A/swine/Ohio/A01349305/2013,Ohio,H3N2,N2.2002B,cluster_iva
KX960313,A/swine/Illinois/A01443797/2013,Illinois,H1N2,N2.2002A,delta1b
KC859022,A/swine/Illinois/A01443801/2013,Illinois,H1N2,N2.2002A,delta1b
KC844211,A/swine/South_Dakota/A01349341/2013,South Dakota,H1N2,N2.1998A,delta1b
KC871069,A/swine/Illinois/A01379021/2013,Illinois,H1N2,N2.2002A,delta1b
KF179105,A/swine/Indiana/A01260252/2013,Indiana,H3N2,N2.2002B,cluster_iva
KC871078,A/swine/Nebraska/A01443969/2013,Nebraska,H1N2,N2.2002B,delta1b
KC871063,A/swine/Nebraska/A01443996/2013,Nebraska,H1N2,N2.2002B,delta1b
KF179108,A/swine/Indiana/A01260254/2013,Indiana,H3N2,N2.2002B,cluster_iva
KC871075,A/swine/Iowa/A01379090/2013,Iowa,H1N2,N2.2002A,delta1b
KC844214,A/swine/Ohio/A01349485/2013,Ohio,H3N2,N2.2002B,cluster_iva
KC844217,A/swine/Ohio/A01349495/2013,Ohio,H3N2,N2.2002B,cluster_iva
KF814095,A/swine/Iowa/13C019/2013,Iowa,H3N2,N2.2002B,cluster_ivb
KF814087,A/swine/Iowa/13C020/2013,Iowa,H3N2,N2.2002B,cluster_ivb
KF814079,A/swine/Iowa/13C029/2013,Iowa,H3N2,N2.2002B,cluster_ivb
KF814103,A/swine/Iowa/13C038/2013,Iowa,H3N2,N2.2002B,cluster_ivb
KF814071,A/swine/Iowa/13C040/2013,Iowa,H3N2,N2.2002B,cluster_ivb
KF885604,A/swine/Iowa/13C044/2013,Iowa,H3N2,N2.2002B,cluster_ivb
KF885652,A/swine/Iowa/13C075/2013,Iowa,H3N2,N2.2002B,cluster_ivb
KF704122,A/swine/Iowa/13C094/2013,Iowa,H1N2,N2.2002A,delta1a
KF885596,A/swine/Iowa/13C095/2013,Iowa,H1N2,N2.2002A,delta1a
KF885620,A/swine/Iowa/13C096/2013,Iowa,H1N2,N2.2002A,delta1a
KF885644,A/swine/Iowa/13C097/2013,Iowa,H1N2,N2.2002A,delta1a
KF885628,A/swine/Iowa/13C098/2013,Iowa,H1N2,N2.2002A,delta1a
KF885588,A/swine/Iowa/13C099/2013,Iowa,H1N2,N2.2002A,delta1a
KF885580,A/swine/Iowa/13C100/2013,Iowa,H1N2,N2.2002A,delta1a
KF059253,A/swine/Pennsylvania/A01380412/2013,Pennsylvania,H3N2,N2.2002B,cluster_iva
KC881271,A/swine/Ohio/A01349559/2013,Ohio,H1N2,N2.2002A,delta2
KC881274,A/swine/Ohio/A01349572/2013,Ohio,H1N2,N2.2002A,delta2
KC904782,A/swine/Illinois/A01379300/2013,Illinois,H1N2,N2.2002A,delta1b
KF179111,A/swine/Indiana/A01260261/2013,Indiana,H3N2,N2.2002B,cluster_iva
KC904788,A/swine/Iowa/A01379369/2013,Iowa,H1N2,N2.2002A,delta1b
KC881277,A/swine/Ohio/A01349615/2013,Ohio,H3N2,N2.2002B,cluster_iva
KC951131,A/swine/Wyoming/A01379327/2013,Wyoming,H3N2,N2.2002A,cluster_iva
KC904785,A/swine/Wyoming/A01379346/2013,Wyoming,H3N2,N2.2002A,cluster_iva
KC951128,A/swine/Wyoming/A01379354/2013,Wyoming,H3N2,N2.2002A,cluster_iva
KC871060,A/swine/Iowa/A01432604/2013,Iowa,H1N2,N2.2002A,gamma
KC992283,A/swine/Iowa/A01432669/2013,Iowa,H1N2,N2.2002A,delta1b
KF234533,A/swine/Kansas/13-112934/2013,Kansas,H1N2,N2.2002B,delta1b
KF234536,A/swine/Kansas/13-112936/2013,Kansas,H1N2,N2.2002B,delta1b
KC951140,A/swine/North_Carolina/A01432634/2013,North Carolina,H1N2,N2.2002A,delta1b
KC951134,A/swine/North_Carolina/A01432643/2013,North Carolina,H1N2,N2.2002A,delta1b
KC992286,A/swine/North_Carolina/A01432660/2013,North Carolina,H1N2,N2.2002A,delta1b
KC992277,A/swine/North_Carolina/A01432666/2013,North Carolina,H1N2,N2.2002A,delta1b
KC951137,A/swine/Pennsylvania/A01432652/2013,Pennsylvania,H3N2,N2.2002A,cluster_iva
KC917310,A/swine/Minnesota/A01349658/2013,Minnesota,H3N2,N2.2002B,cluster_ivb
KC917313,A/swine/Minnesota/A01349716/2013,Minnesota,H1N2,N2.2002A,delta1b
KF179114,A/swine/Indiana/A01260268/2013,Indiana,H3N2,N2.2002A,cluster_ive
KF420322,A/swine/Maryland/A01319694/2013,Maryland,H3N2,N2.2002B,cluster_iva
KC992247,A/swine/Minnesota/A01379746/2013,Minnesota,H3N2,N2.2002B,cluster_ivb
KF179117,A/swine/Indiana/A01260276/2013,Indiana,H3N2,N2.2002B,cluster_iva
KC992253,A/swine/Iowa/A01379800/2013,Iowa,H1N2,N2.2002A,delta1b
KF013537,A/swine/Nebraska/A01379861/2013,Nebraska,H1N2,N2.2002B,delta1b
KF179120,A/swine/Indiana/A01260280/2013,Indiana,H3N2,N2.2002B,cluster_iva
KF179123,A/swine/Indiana/A01260283/2013,Indiana,H1N2,N2.2002A,delta1b
KF037958,A/swine/Minnesota/A01350216/2013,Minnesota,H1N2,N2.2002A,delta1b
KF037961,A/swine/South_Dakota/A01350210/2013,South Dakota,H1N2,N2.1998A,delta1b
KF113305,A/swine/South_Dakota/A01350220/2013,South Dakota,H1N2,N2.1998A,delta1b
KF179126,A/swine/Indiana/A01260284/2013,Indiana,H3N2,N2.2002B,cluster_iva
KF179129,A/swine/Indiana/A01260285/2013,Indiana,H3N2,N2.2002B,cluster_ivc
KF382709,A/swine/Virginia/A01432745/2013,Virginia,H1N2,N2.2002,pdmh1
KF037963,A/swine/Wyoming/A01380322/2013,Wyoming,H3N2,N2.2002A,cluster_iva
KF059247,A/swine/Wyoming/A01380335/2013,Wyoming,H3N2,N2.2002A,cluster_iva
KF282749,A/swine/Illinois/A01244623/2013,Illinois,H1N2,N2.2002A,delta1b
KF113319,A/swine/Iowa/A01432680/2013,Iowa,H3N2,N2.2002B,cluster_ivb
KF113325,A/swine/Iowa/A01432731/2013,Iowa,H3N2,N2.2002B,cluster_ivb
KF234539,A/swine/Kansas/13-118657/2013,Kansas,H1N2,N2.2002A,delta1a
KF113313,A/swine/Michigan/A01432678/2013,Michigan,H3N2,N2.2002B,cluster_iva
KF113322,A/swine/North_Carolina/A01432692/2013,North Carolina,H1N2,N2.2002B,delta2
KF113334,A/swine/North_Carolina/A01432694/2013,North Carolina,H1N2,N2.2002B,delta2
KF113328,A/swine/North_Carolina/A01432728/2013,North Carolina,H1N2,N2.1998B,delta2
KF059250,A/swine/Illinois/A01380437/2013,Illinois,H1N2,N2.2002A,delta1b
KF113308,A/swine/Nebraska/A01350362/2013,Nebraska,H1N2,N2.2002A,delta1a
KF150188,A/swine/Minnesota/A01380666/2013,Minnesota,H1N2,N2.2002A,delta1b
KF150191,A/swine/Nebraska/A01380652/2013,Nebraska,H1N2,N2.2002B,delta1b
KF188406,A/swine/Illinois/A01380725/2013,Illinois,H1N2,N2.2002A,delta1b
KF234477,A/swine/South_Dakota/A01350648/2013,South Dakota,H1N2,N2.2002A,delta1a
CY194647,A/swine/Kentucky/D0385/2013,Kentucky,H3N2,N2.2002B,cluster_iva
KF229745,A/swine/Wyoming/A01381202/2013,Wyoming,H3N2,N2.2002A,cluster_iva
KF229751,A/swine/Wyoming/A01381213/2013,Wyoming,H3N2,N2.2002A,cluster_iva
KF229748,A/swine/Minnesota/A01381378/2013,Minnesota,H3N2,N2.2002B,cluster_ivc
KF313348,A/swine/Illinois/A01215870/2013,Illinois,H1N2,N2.2002A,delta1b
KF234480,A/swine/South_Dakota/A01350758/2013,South Dakota,H1N2,N2.2002A,delta1a
KF885668,A/swine/Iowa/13E045/2013,Iowa,H3N2,N2.2002B,cluster_iva
KF234483,A/swine/South_Dakota/A01350778/2013,South Dakota,H1N2,N2.2002A,delta1a
KF234495,A/swine/South_Dakota/A01350803/2013,South Dakota,H3N2,N2.2002B,cluster_iva
KF234498,A/swine/South_Dakota/A01350819/2013,South Dakota,H1N2,N2.2002A,delta1a
KF290481,A/swine/Illinois/A01381569/2013,Illinois,H1N2,N2.2002A,delta1b
KF282746,A/swine/Illinois/A01432795/2013,Illinois,H3N2,N2.2002B,cluster_iva
KF282755,A/swine/Iowa/A01432770/2013,Iowa,H3N2,N2.2002B,cluster_ivb
KF282758,A/swine/Iowa/A01432784/2013,Iowa,H1N2,N2.2002A,delta1b
KF382724,A/swine/Iowa/A01432817/2013,Iowa,H3N2,N2.2002B,cluster_iva
KF382721,A/swine/Iowa/A01432826/2013,Iowa,H3N2,N2.2002B,cluster_ivb
KF382712,A/swine/Iowa/A01432840/2013,Iowa,H3N2,N2.2002B,cluster_iva
KF282743,A/swine/North_Carolina/A01432766/2013,North Carolina,H1N2,N2.2002A,delta1b
KF478867,A/swine/North_Carolina/A01432835/2013,North Carolina,(N2),N2.2002B,cluster_iva
KF270515,A/swine/Minnesota/A01350866/2013,Minnesota,H3N2,N2.2002B,cluster_iva
KF290478,A/swine/Illinois/A01381677/2013,Illinois,H1N2,N2.2002A,delta1b
KF290484,A/swine/Minnesota/A01381700/2013,Minnesota,H1N2,N2.2002B,delta1b
KF305494,A/swine/Nebraska/A01351017/2013,Nebraska,H1N2,N2.2002A,delta1a
KF305497,A/swine/South_Dakota/A01351021/2013,South Dakota,H1N2,N2.1998A,delta1b
KF313144,A/swine/Minnesota/A01351067/2013,Minnesota,H1N2,N2.2002B,delta1b
KF360364,A/swine/Nebraska/A01381819/2013,Nebraska,H1N2,N2.2002B,delta1b
KF313147,A/swine/Minnesota/A01351166/2013,Minnesota,H1N2,N2.2002B,delta1b
KF313150,A/swine/Ohio/A01351184/2013,Ohio,H1N2,N2.2002A,delta2
KF367585,A/swine/Minnesota/A01397157/2013,Minnesota,H1N2,N2.2002A,delta1b
KF450796,A/swine/Indiana/A01260305/2013,Indiana,H1N2,N2.2002A,delta1b
KF382739,A/swine/Indiana/A01260313/2013,Indiana,H3N2,N2.2002B,cluster_iva
KF367582,A/swine/Minnesota/A01397282/2013,Minnesota,H3N2,N2.2002B,cluster_ivb
KF467248,A/swine/Indiana/A01260321/2013,Indiana,H3N2,N2.2002B,cluster_iva
KF680056,A/swine/Indiana/A01260322/2013,Indiana,H3N2,N2.2002B,cluster_iva
KF367588,A/swine/Wyoming/A01397389/2013,Wyoming,H3N2,N2.2002A,cluster_iva
KF367591,A/swine/Wyoming/A01397400/2013,Wyoming,H3N2,N2.2002A,cluster_iva
KF411047,A/swine/Illinois/A01397556/2013,Illinois,H1N2,N2.2002A,delta1b
KF487566,A/swine/Illinois/A01244830/2013,Illinois,H1N2,N2.2002A,delta1b
KF478862,A/swine/Iowa/A01244805/2013,Iowa,H3N2,N2.2002A,cluster_iva
KF478882,A/swine/Iowa/A01432819/2013,Iowa,H1N2,N2.2002A,delta1b
KF478870,A/swine/Iowa/A01432854/2013,Iowa,H1N2,N2.2002A,delta1b
KF478859,A/swine/Iowa/A01432867/2013,Iowa,H3N2,N2.2002B,cluster_iva
KF478856,A/swine/Iowa/A01432878/2013,Iowa,H1N2,N2.2002A,delta1b
KF487563,A/swine/Iowa/A01432886/2013,Iowa,H3N2,N2.2002B,cluster_iva
KF487560,A/swine/Minnesota/A01432889/2013,Minnesota,H1N2,N2.2002A,delta1b
KF478876,A/swine/Missouri/A01432837/2013,Missouri,H1N2,N2.2002A,beta
KF461091,A/swine/Nebraska/A01397576/2013,Nebraska,H3N2,N2.2002A,cluster_iva
KF894916,A/swine/Nebraska/A01395173/2013,Nebraska,H1N2,N2.2002B,delta1b
KF437326,A/swine/Ohio/A01351573/2013,Ohio,H3N2,N2.2002B,cluster_iva
KF437329,A/swine/Minnesota/A01351603/2013,Minnesota,H3N2,N2.2002B,cluster_iva
KF461094,A/swine/Minnesota/A01397957/2013,Minnesota,H1N2,N2.2002A,delta1b
KF461097,A/swine/Iowa/A01398028/2013,Iowa,H3N2,N2.2002B,cluster_ivb
KF469227,A/swine/Ohio/A01351683/2013,Ohio,H3N2,N2.2002B,cluster_iva
KF469230,A/swine/Ohio/A01351710/2013,Ohio,H3N2,N2.2002B,cluster_iva
KJ452370,A/swine/Iowa/13G060/2013,Iowa,H3N2,N2.2002B,cluster_iv
KF582509,A/swine/Illinois/A01398458/2013,Illinois,H1N2,N2.2002A,delta1b
KF574778,A/swine/Illinois/A01244982/2013,Illinois,(N2),N2.2002A,delta1b
KF569191,A/swine/Illinois/A01244990/2013,Illinois,H1N2,N2.2002A,delta1b
KF574787,A/swine/Illinois/A01290325/2013,Illinois,H3N2,N2.2002B,cluster_ivb
KF648995,A/swine/Illinois/A01290365/2013,Illinois,H1N2,N2.2002A,delta1b
KF649014,A/swine/Illinois/A01290369/2013,Illinois,H1N2,N2.2002A,delta1b
KF649008,A/swine/Illinois/A01291342/2013,Illinois,H1N2,N2.2002A,delta1b
KF649000,A/swine/Illinois/A01291351/2013,Illinois,(N2),N2.2002A,delta1b
KF649005,A/swine/Illinois/A01291356/2013,Illinois,H1N2,N2.2002A,delta1a
KF649019,A/swine/Illinois/A01291397/2013,Illinois,(N2),N2.2002A,delta1b
KF537382,A/swine/Illinois/A01432945/2013,Illinois,H1N2,N2.2002A,delta1b
KF569188,A/swine/Illinois/A01432965/2013,Illinois,H1N2,N2.2002A,delta1b
KF574763,A/swine/Indiana/A01290320/2013,Indiana,H3N2,N2.2002B,cluster_iva
KF569203,A/swine/Iowa/A01290302/2013,Iowa,H3N2,N2.2002B,cluster_iva
KF537369,A/swine/Iowa/A01432902/2013,Iowa,(N2),N2.2002B,gamma
KF537376,A/swine/Minnesota/A01432932/2013,Minnesota,H3N2,N2.2002B,cluster_ivb
KF574781,A/swine/North_Carolina/A01290349/2013,North Carolina,H1N2,N2.2002A,delta1b
KF574766,A/swine/North_Carolina/A01291368/2013,North Carolina,H1N2,N2.2002A,delta1b
KF537373,A/swine/North_Carolina/A01432948/2013,North Carolina,H1N2,N2.1998B,delta2
KF537379,A/swine/North_Carolina/A01432952/2013,North Carolina,H1N2,N2.2002A,delta1b
KF569200,A/swine/North_Carolina/A01432997/2013,North Carolina,H3N2,N2.2002B,cluster_iva
KF569194,A/swine/North_Carolina/A01432998/2013,North Carolina,H3N2,N2.2002B,cluster_iva
KF574775,A/swine/Virginia/A01290329/2013,Virginia,H3N2,N2.2002A,cluster_iva
KF557754,A/swine/Illinois/A01398533/2013,Illinois,H1N2,N2.2002A,delta1b
KF582518,A/swine/Illinois/A01398587/2013,Illinois,H3N2,N2.2002A,cluster_iva
KF680053,A/swine/Indiana/A01260356/2013,Indiana,H1N2,N2.2002A,delta1b
KF680050,A/swine/Indiana/A01260361/2013,Indiana,H3N2,N2.2002B,cluster_iva
KF680262,A/swine/Nebraska/A01399268/2013,Nebraska,H3N2,N2.1998A,cluster_ivf
KF582512,A/swine/Minnesota/A01398642/2013,Minnesota,H1N2,N2.2002A,delta1b
KF611811,A/swine/Illinois/A01398880/2013,Illinois,H1N2,N2.2002A,delta1b
KF715122,A/swine/Indiana/A01260368/2013,Indiana,H3N2,N2.2002B,cluster_iva
KF715119,A/swine/Indiana/A01260371/2013,Indiana,H3N2,N2.2002B,cluster_iva
KF646125,A/swine/Michigan/A01259074/2013,Michigan,H3N2,N2.2002B,cluster_iva
KF952495,A/swine/Nebraska/A01395180/2013,Nebraska,H1N2,N2.2002A,delta1b
KF680063,A/swine/Ohio/A01364406/2013,Ohio,H3N2,N2.2002B,cluster_iva
KM076714,A/swine/Iowa/13H065/2013,Iowa,H3N2,N2.2002B,cluster_iva
KJ452394,A/swine/Iowa/13H068/2013,Iowa,H3N2,N2.2002B,cluster_iva
KF888369,A/swine/Iowa/13H069/2013,Iowa,H3N2,N2.2002B,cluster_iva
KF888361,A/swine/Iowa/13H072/2013,Iowa,H1N2,N2.2002A,delta1b
KM076730,A/swine/Iowa/13H073/2013,Iowa,H3N2,N2.2002B,cluster_iva
KJ452378,A/swine/Iowa/13H075/2013,Iowa,H3N2,N2.2002B,cluster_iva
KM076722,A/swine/Iowa/13H076/2013,Iowa,H3N2,N2.2002B,cluster_iva
KJ452386,A/swine/Iowa/13H081/2013,Iowa,H3N2,N2.2002B,cluster_iva
KJ452362,A/swine/Iowa/13H082/2013,Iowa,H3N2,N2.2002B,cluster_iva
KF888377,A/swine/Iowa/13H087/2013,Iowa,H3N2,N2.2002B,cluster_iva
KM514422,A/swine/Iowa/13H090/2013,Iowa,H3N2,N2.2002B,cluster_iva
KM076738,A/swine/Iowa/13H092/2013,Iowa,H3N2,N2.2002B,cluster_iva
KF888353,A/swine/Iowa/13H094/2013,Iowa,H3N2,N2.2002B,cluster_iva
KM514430,A/swine/Iowa/13H098/2013,Iowa,H3N2,N2.2002B,cluster_iva
KF680200,A/swine/Illinois/A01291426/2013,Illinois,H1N2,N2.2002A,delta1b
KF680218,A/swine/Illinois/A01291429/2013,Illinois,(N2),N2.2002A,delta1b
KF715140,A/swine/Illinois/A01291458/2013,Illinois,(N2),N2.2002A,delta1b
KF715193,A/swine/Illinois/A01291476/2013,Illinois,H1N2,N2.2002A,delta1b
KF680215,A/swine/Iowa/A01290414/2013,Iowa,H3N2,N2.2002B,cluster_ivb
KF715169,A/swine/Iowa/A01290431/2013,Iowa,H3N2,N2.2002B,cluster_iv
KF715147,A/swine/Iowa/A01290438/2013,Iowa,H3N2,N2.2002B,cluster_iva
KF715166,A/swine/North_Carolina/A01290442/2013,North Carolina,H3N2,N2.2002B,cluster_iva
KF715150,A/swine/North_Carolina/A01290447/2013,North Carolina,H3N2,N2.2002B,cluster_iva
KF715187,A/swine/North_Carolina/A01290458/2013,North Carolina,H1N2,N2.2002A,delta1b
KF715160,A/swine/North_Carolina/A01290462/2013,North Carolina,H1N2,N2.2002A,delta1b
KF715184,A/swine/North_Carolina/A01290473/2013,North Carolina,H1N2,N2.2002A,delta1b
KF715153,A/swine/North_Carolina/A01291206/2013,North Carolina,(N2),N2.2002B,gamma
KF715178,A/swine/North_Carolina/A01291213/2013,North Carolina,H1N2,N2.2002A,delta1b
KF680203,A/swine/North_Carolina/A01291329/2013,North Carolina,H3N2,N2.2002B,cluster_iva
KF697080,A/swine/Illinois/A01399305/2013,Illinois,H1N2,N2.2002A,delta1b
KF680259,A/swine/Illinois/A01399330/2013,Illinois,H1N2,N2.2002A,delta1b
KF680069,A/swine/North_Carolina/A01364613/2013,North Carolina,H3N2,N2.2002B,cluster_iva
KF715131,A/swine/Minnesota/A01392045/2013,Minnesota,H1N2,N2.2002A,delta1a
KF697083,A/swine/Nebraska/A01399636/2013,Nebraska,H1N2,N2.2002B,delta1b
KF715125,A/swine/Minnesota/A01392044/2013,Minnesota,H3N2,N2.2002B,cluster_ivb
KF715204,A/swine/Iowa/A01364803/2013,Iowa,H3N2,N2.2002B,cluster_iva
KF715254,A/swine/Minnesota/A01364816/2013,Minnesota,H3N2,N2.2002B,cluster_iva
KF715134,A/swine/Iowa/A01399987/2013,Iowa,H1N2,N2.2002A,delta1b
KF715128,A/swine/Nebraska/A01399873/2013,Nebraska,H1N2,N2.2002B,delta1b
KF715137,A/swine/Minnesota/A01392079/2013,Minnesota,H3N2,N2.2002B,cluster_iva
KF836383,A/swine/Illinois/A00843191/2013,Illinois,H1N2,N2.2002A,delta1b
KF772965,A/swine/Minnesota/A01394278/2013,Minnesota,H3N2,N2.2002B,cluster_iva
KF735648,A/swine/Illinois/A01392224/2013,Illinois,H3N2,N2.2002B,cluster_iva
KF856879,A/swine/Iowa/A01365015/2013,Iowa,H3N2,N2.2002B,cluster_iva
KF715214,A/swine/Illinois/A01290508/2013,Illinois,H3N2,N2.2002A,cluster_iva
KF791387,A/swine/Illinois/A01290614/2013,Illinois,H3N2,N2.2002B,cluster_ivc
KF761353,A/swine/Illinois/A01291140/2013,Illinois,H1N2,N2.2002A,delta1b
KF791357,A/swine/Illinois/A01291768/2013,Illinois,H1N2,N2.2002A,delta1b
KF791390,A/swine/Illinois/A01409044/2013,Illinois,H1N2,N2.2002A,delta1b
KF922772,A/swine/Indiana/A01290643/2013,Indiana,H1N2,N2.2002A,delta1b
KF922754,A/swine/Iowa/A01290671/2013,Iowa,H3N2,N2.2002B,cluster_ivb
KF922829,A/swine/Iowa/A01290680/2013,Iowa,H3N2,N2.2002A,cluster_iv
KF922823,A/swine/Minnesota/A01290679/2013,Minnesota,H1N2,N2.2002A,delta1a
KF791372,A/swine/Nebraska/A01290601/2013,Nebraska,H1N2,N2.2002A,delta1b
KF791350,A/swine/North_Carolina/A01290565/2013,North Carolina,(N2),N2.2002A,delta1b
KF791369,A/swine/North_Carolina/A01290598/2013,North Carolina,H1N2,N2.1998B,delta2
KF922748,A/swine/North_Carolina/A01290636/2013,North Carolina,H1N2,N2.2002A,delta1b
KF922808,A/swine/North_Carolina/A01409104/2013,North Carolina,H3N2,N2.2002B,cluster_iva
KF715220,A/swine/Oklahoma/A01290517/2013,Oklahoma,H1N2,N2.2002A,delta1b
KF761359,A/swine/Oklahoma/A01290571/2013,Oklahoma,H1N2,N2.2002A,delta1b
KF791366,A/swine/Oklahoma/A01290607/2013,Oklahoma,H1N2,N2.2002A,delta1b
KF761362,A/swine/Oklahoma/A01291105/2013,Oklahoma,H1N2,N2.2002A,delta1b
KF791393,A/swine/USA/A01291038/2013,Unknown,H3N2,N2.2002B,cluster_iva
KF874266,A/swine/Illinois/A01394861/2013,Illinois,H3N2,N2.2002B,cluster_iva
KF874245,A/swine/Illinois/A01394862/2013,Illinois,H3N2,N2.2002B,cluster_iva
KF772968,A/swine/Minnesota/A01392515/2013,Minnesota,H3N2,N2.2002B,cluster_ivb
KF735651,A/swine/Minnesota/A01392534/2013,Minnesota,H3N2,N2.1998A,cluster_ivf
KF715257,A/swine/SouthDakota/A01365178/2013,Unknown,H1N2,N2.1998A,delta1b
KF938950,A/swine/Indiana/A01260398/2013,Indiana,H3N2,N2.2002B,cluster_iva
KF824481,A/swine/Minnesota/A01394082/2013,Minnesota,H1N2,N2.2002B,alpha
KF746331,A/swine/South_Dakota/A01365260/2013,South Dakota,H1N2,N2.2002A,delta1a
KF874322,A/swine/Kansas/A01377088/2013,Kansas,H1N2,N2.2002A,delta1a
KF874325,A/swine/Kansas/A01377090/2013,Kansas,H3N2,N2.2002B,cluster_iva
KF922760,A/swine/Kansas/A01290646/2013,Kansas,H1N2,N2.2002A,delta1b
KF824493,A/swine/Iowa/A01394012/2013,Iowa,H1N2,N2.2002A,delta1b
